pos,category,sub_category,abbrev,label,sub_label,field_length,min,min_numeric,max,max_numeric,units,scaling_factor,scaling_factor_numeric,missing,missing_numeric,description,dom,dom_parsed_json
52-56,control-data section,NA,NA,fixed weather station,call letter identifier,5,NA,NA,NA,NA,NA,NA,NA,99999,99999,The identifier that represents the call letters assigned to a FIXED-WEATHER-STATION.,A general domain comprised of the characters in the ASCII character set. 99999 = Missing.,"{""99999"":""Missing.""}"
57-60,control-data section,NA,NA,meteorological point observation,quality control process name,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,The name of the quality control process applied to a weather observation.,"A general domain comprised of the ASCII character set. 6 Mandatory Data Section Bold type below indicates that the element may include data originating from NCEIs NCEI SURFACE HOURLY/ASOS/AWOSor from AFCCCs USAF SURFACE HOURLY. Otherwise, data originated from USAF SURFACE HOURLY.Note: For the quality code fields with each data element, the following may appear in data which were processed throughNCEIs Interactive QC system (manual interaction), for selected parameters:A  Data value flagged as suspect, but accepted as good value.U  Data value replaced with edited value.P  Data value not originally flagged as suspect, but replaced by validator.I  Data value not originally in data, but inserted by validator.M - Manual change made to value based on information provided by NWS or FAA.C - Temperature and dew point received from Automated Weather Observing Systems (AWOS) are reported in wholedegrees Celsius. Automated QC flags these values, but they are accepted as valid.R - Data value replaced with value computed by NCEI software.","{""Note"":""For the quality code fields with each data element, the following may appear in data which were processed throughNCEIs Interactive QC system (manual interaction), for selected parameters""}"
61-63,mandatory-data section,NA,NA,wind observation,direction angle,3,001,1,360,360,Angular Degrees,1,1,999,999,"The angle, measured in a clockwise direction, between true north and the direction from which the wind is blowing.","A general domain comprised of the numeric characters (0-9). 999 = Missing. If type code (below) = V, then 999 indicates variable wind direction.","{""999"":""Missing. If type code (below)""}"
64-64,mandatory-data section,NA,NA,wind observation,direction quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes a quality status of a reported WIND-OBSERVATION direction angle.,"A specific domain comprised of the characters in the ASCII character set. 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 4 = Passed gross limits check , data originate from an NCEI data source 5 = Passed all quality control checks, data originate from an NCEI data source 6 = Suspect, data originate from an NCEI data source 7 = Erroneous, data originate from an NCEI data source 9 = Passed gross limits check if element is present","{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""4"":""Passed gross limits check , data originate from an NCEI data source"",""5"":""Passed all quality control checks, data originate from an NCEI data source"",""6"":""Suspect, data originate from an NCEI data source"",""7"":""Erroneous, data originate from an NCEI data source"",""9"":""Passed gross limits check if element is present""}"
65-65,mandatory-data section,NA,NA,wind observation,type code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that denotes the character of the WIND-OBSERVATION.,"A specific domain comprised of the characters in the ASCII character set. A: Abridged Beaufort B: Beaufort C: Calm H: 5-Minute Average Speed N: Normal R: 60-Minute Average Speed Q: Squall T: 180 Minute Average Speed V: Variable 9 = Missing NOTE: If a value of 9 appears with a wind speed of 0000, this indicates calm winds.","{""A"":""Abridged Beaufort"",""B"":""Beaufort"",""C"":""Calm"",""H"":""5-Minute Average Speed"",""N"":""Normal"",""R"":""60-Minute Average Speed"",""Q"":""Squall"",""T"":""180 Minute Average Speed"",""V"":""Variable"",""9"":""Missing"",""NOTE"":""If a value of 9 appears with a wind speed of 0000, this indicates calm winds.""}"
66-69,mandatory-data section,NA,NA,wind observation,speed rate,4,0000,0,0900,900,meters per second,10,10,9999,9999,The rate of horizontal travel of air past a fixed point.,A general domain comprised of the numeric characters (0-9). 9999 = Missing.,"{""9999"":""Missing.""}"
70-70,mandatory-data section,NA,NA,wind observation,speed quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes a quality status of a reported WIND-OBSERVATION speed rate.,"A specific domain comprised of the characters in the ASCII character set. 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 4 = Passed gross limits check , data originate from an NCEI data source 5 = Passed all quality control checks, data originate from an NCEI data source 6 = Suspect, data originate from an NCEI data source 7 = Erroneous, data originate from an NCEI data source 9 = Passed gross limits check if element is present","{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""4"":""Passed gross limits check , data originate from an NCEI data source"",""5"":""Passed all quality control checks, data originate from an NCEI data source"",""6"":""Suspect, data originate from an NCEI data source"",""7"":""Erroneous, data originate from an NCEI data source"",""9"":""Passed gross limits check if element is present""}"
71-75,mandatory-data section,NA,NA,sky condition observation,ceiling height dimension,5,00000,0,22000,22000,Meters,1,1,99999,99999,"The height above ground level (AGL) of the lowest cloud or obscuring phenomena layer aloft with 5/8 or more summation total sky cover, which may be predominantly opaque, or the vertical",A general domain comprised of the numeric characters (0-9). 99999 = Missing.,"{""99999"":""Missing.""}"
76-76,mandatory-data section,NA,NA,sky condition observation,ceiling quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes a quality status of a reported ceiling height dimension.,"A specific domain comprised of the characters in the ASCII character set. 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 4 = Passed gross limits check , data originate from an NCEI data source 5 = Passed all quality control checks, data originate from an NCEI data source 6 = Suspect, data originate from an NCEI data source 7 = Erroneous, data originate from an NCEI data source 9 = Passed gross limits check if element is present","{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""4"":""Passed gross limits check , data originate from an NCEI data source"",""5"":""Passed all quality control checks, data originate from an NCEI data source"",""6"":""Suspect, data originate from an NCEI data source"",""7"":""Erroneous, data originate from an NCEI data source"",""9"":""Passed gross limits check if element is present""}"
77-77,mandatory-data section,NA,NA,sky condition observation,ceiling determination code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that denotes the method used to determine the ceiling.,A specific domain comprised of the characters in the ASCII character set. A: Aircraft B: Balloon C: Statistically derived D: Persistent cirriform ceiling (pre-1950 data) E: Estimated M: Measured P: Precipitation ceiling (pre-1950 data) R: Radar S: ASOS augmented U: Unknown ceiling (pre-1950 data) V: Variable ceiling (pre-1950 data) W: Obscured 9: Missing 8,"{""A"":""Aircraft"",""B"":""Balloon"",""C"":""Statistically derived"",""D"":""Persistent cirriform ceiling (pre-1950 data)"",""E"":""Estimated"",""M"":""Measured"",""P"":""Precipitation ceiling (pre-1950 data)"",""R"":""Radar"",""S"":""ASOS augmented"",""U"":""Unknown ceiling (pre-1950 data)"",""V"":""Variable ceiling (pre-1950 data)"",""W"":""Obscured"",""9"":""Missing 8""}"
78-78,mandatory-data section,NA,NA,sky condition observation,CAVOK code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that represents whether the 'Ceiling And Visibility Okay' (CAVOK) condition has been reported.,A specific domain comprised of the characters in the ASCII character set. N: No Y: Yes 9: missing,"{""N"":""No"",""Y"":""Yes"",""9"":""missing""}"
79-84,mandatory-data section,NA,NA,visibility observation,distance dimension,6,000000,0,160000,160000,Meters,NA,NA,999999,999999,The horizontal distance at which an object can be seen and identified.,A general domain comprised of the numeric characters (0-9). Missing = 999999 NOTE: Values greater than 160000 are entered as 160000,"{""Missing"":""999999"",""NOTE"":""Values greater than 160000 are entered as 160000""}"
85-85,mandatory-data section,NA,NA,visibility observation,distance quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes a quality status of a reported distance of a visibility observation.,"A specific domain comprised of the characters in the ASCII character set. 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 4 = Passed gross limits check , data originate from an NCEI data source 5 = Passed all quality control checks, data originate from an NCEI data source 6 = Suspect, data originate from an NCEI data source 7 = Erroneous, data originate from an NCEI data source 9 = Passed gross limits check if element is present","{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""4"":""Passed gross limits check , data originate from an NCEI data source"",""5"":""Passed all quality control checks, data originate from an NCEI data source"",""6"":""Suspect, data originate from an NCEI data source"",""7"":""Erroneous, data originate from an NCEI data source"",""9"":""Passed gross limits check if element is present""}"
86-86,mandatory-data section,NA,NA,visibility observation,variability code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that denotes whether or not the reported visibility is variable.,A specific domain comprised of the characters in the ASCII character set. N: Not variable V: Variable 9 = Missing,"{""N"":""Not variable"",""V"":""Variable"",""9"":""Missing""}"
87-87,mandatory-data section,NA,NA,visibility observation,quality variability code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes a quality status of a reported VISIBILITY-OBSERVATION variability code.,"A specific domain comprised of the characters in the ASCII character set. 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 4 = Passed gross limits check , data originate from an NCEI data source 5 = Passed all quality control checks, data originate from an NCEI data source 6 = Suspect, data originate from an NCEI data source 7 = Erroneous, data originate from an NCEI data source 9 = Passed gross limits check if element is present","{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""4"":""Passed gross limits check , data originate from an NCEI data source"",""5"":""Passed all quality control checks, data originate from an NCEI data source"",""6"":""Suspect, data originate from an NCEI data source"",""7"":""Erroneous, data originate from an NCEI data source"",""9"":""Passed gross limits check if element is present""}"
88-92,mandatory-data section,NA,NA,air temperature observation,air temperature,5,-0932,-932,+0618,618,Degrees Celsius,10,10,9999,9999,The temperature of the air.,"A general domain comprised of the numeric characters (0-9), a plus sign (+), and a minus sign (-). 9 +9999 = Missing.","{""9999"":""Missing.""}"
93-93,mandatory-data section,NA,NA,air temperature observation,air temperature quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes a quality status of an AIR-TEMPERATURE-OBSERVATION.,"A specific domain comprised of the characters in the ASCII character set. 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 4 = Passed gross limits check , data originate from an NCEI data source 5 = Passed all quality control checks, data originate from an NCEI data source 6 = Suspect, data originate from an NCEI data source 7 = Erroneous, data originate from an NCEI data source 9 = Passed gross limits check if element is present A = Data value flagged as suspect, but accepted as a good value C = Temperature and dew point received from Automated Weather Observing System (AWOS) are reported in whole degrees Celsius. Automated QC flags these values, but they are accepted as valid. I = Data value not originally in data, but inserted by validator M = Manual changes made to value based on information provided by NWS or FAA P = Data value not originally flagged as suspect, but replaced by validator R = Data value replaced with value computed by NCEI software U = Data value replaced with edited value","{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""4"":""Passed gross limits check , data originate from an NCEI data source"",""5"":""Passed all quality control checks, data originate from an NCEI data source"",""6"":""Suspect, data originate from an NCEI data source"",""7"":""Erroneous, data originate from an NCEI data source"",""9"":""Passed gross limits check if element is present"",""A"":""Data value flagged as suspect, but accepted as a good value"",""C"":""Temperature and dew point received from Automated Weather Observing System (AWOS) are reported in whole degrees Celsius. Automated QC flags these values, but they are accepted as valid."",""I"":""Data value not originally in data, but inserted by validator"",""M"":""Manual changes made to value based on information provided by NWS or FAA"",""P"":""Data value not originally flagged as suspect, but replaced by validator"",""R"":""Data value replaced with value computed by NCEI software"",""U"":""Data value replaced with edited value""}"
94-98,mandatory-data section,NA,NA,air temperature observation,dew point temperature,5,-0982,-982,+0368,368,Degrees Celsius,10,10,9999,9999,The temperature to which a given parcel of air must be cooled at constant pressure and water vapor content in order for saturation to occur.,"A general domain comprised of the numeric characters (0-9), a plus sign (+), and a minus sign (-). +9999 = Missing.","{""9999"":""Missing.""}"
99-99,mandatory-data section,NA,NA,air temperature observation,dew point quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes a quality status of the reported dew point temperature.,"A specific domain comprised of the characters in the ASCII character set. 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 4 = Passed gross limits check , data originate from an NCEI data source 5 = Passed all quality control checks, data originate from an NCEI data source 6 = Suspect, data originate from an NCEI data source 7 = Erroneous, data originate from an NCEI data source 9 = Passed gross limits check if element is present A = Data value flagged as suspect, but accepted as a good value C = Temperature and dew point received from Automated Weather Observing System (AWOS) are reported in whole degrees Celsius. Automated QC flags these values, but they are accepted as valid. I = Data value not originally in data, but inserted by validator M = Manual changes made to value based on information provided by NWS or FAA P = Data value not originally flagged as suspect, but replaced by validator R = Data value replaced with value computed by NCEI software U = Data value replaced with edited value","{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""4"":""Passed gross limits check , data originate from an NCEI data source"",""5"":""Passed all quality control checks, data originate from an NCEI data source"",""6"":""Suspect, data originate from an NCEI data source"",""7"":""Erroneous, data originate from an NCEI data source"",""9"":""Passed gross limits check if element is present"",""A"":""Data value flagged as suspect, but accepted as a good value"",""C"":""Temperature and dew point received from Automated Weather Observing System (AWOS) are reported in whole degrees Celsius. Automated QC flags these values, but they are accepted as valid."",""I"":""Data value not originally in data, but inserted by validator"",""M"":""Manual changes made to value based on information provided by NWS or FAA"",""P"":""Data value not originally flagged as suspect, but replaced by validator"",""R"":""Data value replaced with value computed by NCEI software"",""U"":""Data value replaced with edited value""}"
100-104,mandatory-data section,NA,NA,air temperature observation,sea level pressure,5,08600,8600,10900,10900,Hectopascals,10,10,99999,99999,The air pressure relative to Mean Sea Level (MSL).,A general domain comprised of the numeric characters (0-9). 99999 = Missing.,"{""99999"":""Missing.""}"
105-105,mandatory-data section,NA,NA,air temperature observation,sea level pressure quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes a quality status of the sea level pressure of an ATMOSPHERIC-PRESSURE-OBSERVATION.,"A specific domain comprised of the characters in the ASCII character set. 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 4 = Passed gross limits check , data originate from an NCEI data source 5 = Passed all quality control checks, data originate from an NCEI data source 6 = Suspect, data originate from an NCEI data source 7 = Erroneous, data originate from an NCEI data source 9 = Passed gross limits check if element is present 11 Additional Data SectionBold type below indicates that the element may include data originating from NCEIs NCEI SURFACE HOURLY/ASOS/AWOS,NCEI HOURLY PRECIPITATION/Hourly Precip, or from AFCCCs USAF SURFACE HOURLY. Otherwise, data originated fromUSAF SURFACE HOURLY.Note: For the quality code fields with each data element, the following may appear in data which were processed throughNCEIs Interactive QC system (manual interaction), for selected parameters:A  Data value flagged as suspect, but accepted as good value.U  Data value replaced with edited value.P  Data value not originally flagged as suspect, but replaced by validator.I  Data value not originally in data, but inserted by validator.M - Manual change made to value based on information provided by NWS or FAAC - Temperature and dew point received from Automated Weather Observing Systems (AWOS) are reported in whole degrees Celsius. Automated QC flags these values, but they are accepted as valid. R - Data value replaced with value computed by NCEI software.","{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""4"":""Passed gross limits check , data originate from an NCEI data source"",""5"":""Passed all quality control checks, data originate from an NCEI data source"",""6"":""Suspect, data originate from an NCEI data source"",""7"":""Erroneous, data originate from an NCEI data source"",""9"":""Passed gross limits check if element is present 11 Additional Data SectionBold type below indicates that the element may include data originating from NCEIs NCEI SURFACE HOURLY/ASOS/AWOS,NCEI HOURLY PRECIPITATION/Hourly Precip, or from AFCCCs USAF SURFACE HOURLY. Otherwise, data originated fromUSAF SURFACE HOURLY."",""Note"":""For the quality code fields with each data element, the following may appear in data which were processed throughNCEIs Interactive QC system (manual interaction), for selected parameters""}"
NA,additional-data section,NA,ADD,geophysical point observation,additional data identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that denotes the beginning of the additional data section.,A specific domain comprised of the ASCII character set. ADD Additional Data SectionPrecipitation Data,"{""A specific domain comprised of the ASCII character set. ADD Additional Data SectionPrecipitation Data"":null}"
NA,additional-data section,precipitation-data,AA1-AA4,liquid precipitation,occurrence identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that represents an episode of LIQUID-PRECIPITATION.,A specific domain comprised of the characters in the ASCII character set. AA1 - AA4 An indicator of up to 4 repeating fields of the following items: LIQUID-PRECIPITATION period quantity LIQUID-PRECIPITATION depth dimension LIQUID-PRECIPITATION condition code LIQUID-PRECIPITATION quality code,"{""items"":""LIQUID-PRECIPITATION period quantity LIQUID-PRECIPITATION depth dimension LIQUID-PRECIPITATION condition code LIQUID-PRECIPITATION quality code""}"
NA,additional-data section,precipitation-data,AA1-AA4,liquid precipitation,period quantity in hours,2,00,0,98,98,Hours,1,1,99,99,The quantity of time over which the LIQUID-PRECIPITATION was measured.,A specific domain comprised of the characters in the ASCII character set 99 = Missing.,"{""99"":""Missing.""}"
NA,additional-data section,precipitation-data,AA1-AA4,liquid precipitation,depth dimension,4,0000,0,9998,9998,millimeters,10,10,9999,9999,The depth of LIQUID-PRECIPITATION that is measured at the time of an observation.,A general domain comprised of the numeric characters (0-9). 9999 = Missing.,"{""9999"":""Missing.""}"
